Num,Alias,interests,IVIS,Stats,Maths,Art,Learn,Prog,Graphics,HCI,UX,Music,Books,games,Sports,Cooking,programming,Creative,Photography,Society
57,Ohtar,Technology & science & computers & games & nature & fitness,2,2,1,3,4,4,1,2,2,,,1,1,,1,,,
58,Oin,Music & piano & asian culture,7,5,8,5,8,9,7,9,7,1,,,,,,,,1
59,Otho,Nothing,6,3,4,6,10,7,5,9,7,,,,,,,,,
60,Pelendur,Drumset,2,5,4,3,4,5,4,4,1,1,,,,,,,,
61,Pippin,Art & design & computer games & programming,7,2,2,8,10,7,2,5,2,,,1,,,1,1,,
62,Quickbeam,Design overall & travel & photograph ,3,3,5,8,8,2,3,3,3,,,,,,,1,,
63,Rian,Gamer & love boardgames & videogames & art in general & books & movies & music,3,5,5,2,8,5,3,4,4,1,1,1,,,,,,
64,Sam,Nothing,6,3,5,9,8,4,4,4,9,,,,,,,,,
65,Sauron,Sports & dancing & hiking & travelling,3,9,7,2,9,6,5,3,3,,,,1,,,,,
66,Shagrat,Sports & movies & tv-series & art,3,3,5,6,7,2,1,1,4,,1,,1,,,1,,
67,Sharku,Nothing,2,7,5,4,6,1,1,1,8,,,,,,,,,
68,Smaug,Technologies & innovation & creating a product not only being fancy but also useful,7,4,4,6,10,8,5,7,6,,,,,,1,1,,
69,Smeagol,History & statistics & video games & films & digital painting & cooking,3,3,5,7,9,3,2,3,8,,1,1,,1,,1,,1
70,Theoden,Creative designs & ideas in Computer Games or Applications & many things,3,5,8,1,9,2,1,1,3,,,1,,,,1,,
71,Theodred,Brewing beer & playing around with OpenGL & warm weather ,4,8,8,5,9,7,9,8,4,,,,,,,1,,
72,Thorin,Music & Photography & Hiking,7,6,7,2,10,8,6,7,7,1,,,1,,,,1,
73,Ugluk,Movies & video games & ice hockey,4,3,5,5,8,6,4,4,2,,1,1,1,,,,,
74,Uruk,Gokarting & cooking & manga/anime & basketball & horror movies & reading fiction novels,5,8,7,7,9,9,8,7,7,,1,,1,1,,,,
